UserID,Avg DailySteps,Avg ActiveMinutes,Avg ExerciseMinutes,Avg Calories Burned
1756,11155,88,29,2391
1980,9894,83,7,2629
1381,4812,56,0,1713
1032,7643,42,3,2338
2201,10108,19,7,2672
1843,7448,51,6,2202
2180,8421,30,0,3134
2386,6679,77,45,2336
1879,4757,63,59,2134
1137,9224,15,34,2755
2030,10155,63,53,1871
2034,8088,18,12,2851
2143,10584,71,9,2108
2050,9712,60,54,3110
1979,9052,22,48,2714
1991,3156,18,31,3074
1018,8192,43,47,1982
1834,6212,75,41,3093
2436,3610,83,20,2416
1918,8295,57,16,2069
2203,4876,63,39,2645
1253,10848,60,9,3093
1971,4575,87,60,2562
1234,3572,25,6,3169
2437,8301,57,17,1746
1356,11520,29,10,2264
1808,10321,59,38,2437
2102,10236,69,5,1936
2200,4354,57,27,1853
1564,5667,80,26,2017
1182,9528,53,51,2728
1031,9111,50,29,2412
1072,4496,72,10,1741
1755,6808,24,28,1742
1166,8888,25,52,2583
1595,4457,60,6,2073
1999,6217,36,38,2023
1843,7448,51,6,2202
1373,5700,62,14,2815
1537,8101,83,54,3003
1095,5846,80,46,2416
1892,3868,47,9,2678
1771,3034,55,41,1621
2377,5217,26,53,2281
2190,9762,77,9,2742
1782,5918,56,5,2937
1814,4932,29,59,3195
1887,11274,77,13,2443
1368,11922,86,37,2529
1122,5308,41,26,3057
1135,11442,16,29,1972
2397,4015,83,11,2754
2019,8196,52,26,2857
1083,5746,41,43,2578
2414,6700,79,31,2235
1638,11587,43,0,2079
2079,6811,16,12,1756
1355,8005,40,47,2767
2166,9160,71,41,2037
2070,4485,79,4,1938
1450,8461,83,7,3104
1776,5159,62,41,2676
1592,10827,31,29,2554
1011,9530,71,60,2634
1020,5937,49,23,2449
2265,7694,63,45,2318
1595,4457,60,6,2073
2248,6243,79,41,2763
1254,5807,19,28,2788
1162,9240,52,53,2647
2013,11404,72,26,3172
1961,3308,66,46,2314
1531,3569,75,45,2182
2057,4762,88,25,2995
2338,7298,87,44,3097
1430,10493,85,38,2947
1005,7922,60,35,2955
2388,9737,66,31,2698
1675,6476,60,8,2899
1497,11335,73,58,2265
1888,11737,67,15,2977
1427,7969,86,8,1862
2383,7749,47,44,2267
1109,3357,87,44,2947
1904,5153,19,58,2780
2343,9617,26,49,2151
2281,4537,21,35,1981
2335,3393,80,55,2567
2321,9367,89,6,1622
2474,6869,57,11,2971
1783,11346,37,30,1697
1187,8974,53,30,2081
1621,5459,59,16,2078
1112,8447,36,23,2655
1835,7576,89,24,2848
2319,9709,16,23,2839
1041,4425,41,46,1758
2108,7647,68,59,3137
1603,5489,62,9,2832
1185,11695,38,15,1813
1869,9044,46,34,2263
1296,9305,26,56,2677
1750,6365,65,1,2505
1635,9152,48,27,3007
2093,9565,39,47,2275
1556,8837,90,55,2034
1900,11054,80,55,2503
1301,7238,77,7,2565
2209,6631,50,23,2517
1805,10501,79,40,2824
2438,9628,84,13,3116
1124,4331,45,59,1741
1022,11917,23,46,2321
1831,7875,25,3,2898
1090,4136,26,31,1664
2499,3483,28,23,1911
1075,11864,89,10,2242
2422,9467,85,40,2103
1202,10025,54,18,2330
1967,9466,24,47,2090
1938,9845,78,53,1891
1357,6396,29,41,2561
1147,11208,19,2,2535
2236,10607,19,36,3096
1734,7272,33,7,2492
2143,10584,71,9,2108
2038,3226,43,10,2304
1582,8649,56,56,3196
1430,10493,85,38,2947
2164,6501,81,12,2643
1244,9481,61,33,2146
1360,4028,48,19,2364
1341,5124,62,45,1971
1526,4370,71,35,2148
1902,11719,84,18,1656
1476,9620,33,37,1794
1444,10284,84,57,3096
1819,4410,66,51,1759
1696,6645,75,24,2903
1505,5480,58,24,1873
2121,9112,46,28,3010
1245,10593,35,3,2446
1145,8621,51,43,3067
1873,6242,57,57,2552
1924,3382,35,59,1854
2039,3386,74,59,2997
1815,7570,29,19,2937
1992,10701,74,19,1872
1805,10501,79,40,2824
1611,7424,29,52,2808
1600,11984,69,49,2432
1437,8524,55,29,2718
1642,10748,20,36,2932
1851,9776,21,13,2522
1328,7985,70,15,1921
1569,6141,89,50,2188
1963,8279,28,31,1869
1846,9665,29,32,2129
2128,4157,77,48,2647
1781,6268,33,10,1614
1736,10593,38,42,2244
1170,10788,69,12,2809
1653,9739,41,25,2050
2356,6921,32,43,1835
1298,8368,35,59,1704
2350,6715,25,41,2984
