UserID,BadgeEarned,BadgeEarnedDate
1756,Early Bird,2025-07-13
1980,Weekend Warrior,2025-08-21
1032,Marathoner,
1843,Marathoner,
2386,Posture Pro,2025-10-01
1137,Marathoner,
2034,Marathoner,
2143,Weekend Warrior,2025-05-16
1979,Marathoner,
1018,Weekend Warrior,2025-04-15
2203,Marathoner,
1234,Early Bird,2025-03-18
2102,Step Master,2025-11-28
2200,Marathoner,
1564,Marathoner,
1031,Consistency King,2025-07-14
1755,Weekend Warrior,2025-01-29
1595,Early Bird,2025-09-25
1843,Weekend Warrior,2025-10-06
1373,Marathoner,
2397,Night Owl,2025-07-30
1638,Weekend Warrior,2025-09-13
2166,Marathoner,2025-01-11
2070,Step Master,2025-03-03
1450,Weekend Warrior,2025-03-19
2265,Weekend Warrior,2025-02-13
1531,Step Master,2025-02-05
2057,Posture Pro,2025-12-11
1888,Step Master,2025-10-01
1427,Posture Pro,2025-09-04
2343,Night Owl,2025-06-03
2335,Early Bird,2025-02-09
1187,Marathoner,
1835,Weekend Warrior,2025-07-25
2319,Marathoner,
1869,Marathoner,2025-07-24
1296,Weekend Warrior,2025-06-23
1750,Early Bird,2025-06-26
1556,Marathoner,
1124,Consistency King,2025-10-10
2422,Marathoner,
2038,Posture Pro,2025-06-11
1873,Posture Pro,2025-01-08
1924,Posture Pro,2025-04-01
2039,Weekend Warrior,2025-01-11
1611,Early Bird,2025-02-04
1851,Marathoner,
1328,Step Master,2025-02-26
1846,Marathoner,
1781,Weekend Warrior,2025-03-12
1736,Posture Pro,2025-07-03
1298,Night Owl,2025-06-18
2350,Step Master,2025-02-01
1335,Early Bird,2025-03-26
1833,Consistency King,2025-01-19
2311,Marathoner,2025-03-20
2059,Marathoner,
1519,Marathoner,
2090,Step Master,2025-09-20
1177,Night Owl,2025-04-19
1583,Posture Pro,2025-05-01
1006,Weekend Warrior,2025-08-12
2498,Consistency King,2025-04-04
1285,Weekend Warrior,2025-01-04
2394,Night Owl,2025-11-29
1701,Night Owl,2025-04-12
1370,Consistency King,2025-07-31
2053,Marathoner,
2354,Consistency King,2025-09-24
1459,Marathoner,2025-08-13
2238,Consistency King,2025-01-20
1090,Consistency King,2025-03-12
2448,Weekend Warrior,2025-12-22
1647,Weekend Warrior,2025-08-10
2182,Night Owl,2025-02-21
1061,Weekend Warrior,2025-07-01
1166,Consistency King,2025-09-29
1833,Weekend Warrior,2025-05-22
2199,Marathoner,
2371,Step Master,2025-05-04
1069,Posture Pro,2025-10-17
1401,Marathoner,2025-11-03
2403,Consistency King,2025-10-16
1165,Marathoner,2025-01-12
1761,Early Bird,2025-06-07
1661,Night Owl,2025-03-29
1747,Marathoner,
1652,Night Owl,2025-03-21
1810,Step Master,2025-02-15
1574,Early Bird,2025-09-13
1996,Consistency King,2025-04-22
2299,Marathoner,
1893,Step Master,2025-07-06
1649,Step Master,2025-07-30
1349,Posture Pro,2025-07-02
1670,Consistency King,2025-10-24
1419,Posture Pro,2025-02-14
1394,Early Bird,2025-09-11
2137,Posture Pro,2025-12-30
1560,Night Owl,2025-02-23
2063,Marathoner,
1882,Marathoner,
1427,Early Bird,2025-04-12
1268,Marathoner,
2228,Weekend Warrior,2025-09-07
1349,Marathoner,
1591,Consistency King,2025-07-01
1756,Marathoner,2025-12-17
2074,Marathoner,
1455,Weekend Warrior,2025-09-25
2268,Marathoner,
1791,Marathoner,
1107,Night Owl,2025-07-20
1603,Early Bird,2025-06-15
1728,Marathoner,
1594,Step Master,2025-03-08
1602,Early Bird,2025-09-11
1690,Step Master,2025-09-23
1956,Marathoner,
2237,Step Master,2025-03-28
1510,Marathoner,2025-10-07
2485,Step Master,2025-07-31
2086,Weekend Warrior,2025-10-08
1674,Marathoner,
1349,Night Owl,2025-04-29
1399,Marathoner,
1879,Posture Pro,2025-02-25
1905,Consistency King,2025-06-18
2070,Marathoner,
1018,Step Master,2025-07-17
1792,Consistency King,2025-11-07
1391,Step Master,2025-08-21
2199,Weekend Warrior,2025-05-08
1038,Posture Pro,2025-09-17
1682,Early Bird,2025-09-30
2199,Marathoner,
1173,Consistency King,2025-09-08
2291,Consistency King,2025-10-01
1935,Marathoner,
2058,Weekend Warrior,2025-10-01
1903,Consistency King,2025-10-10
1242,Weekend Warrior,2025-06-11
1860,Consistency King,2025-05-30
1396,Marathoner,2025-01-01
2099,Marathoner,2025-11-02
2488,Early Bird,2025-09-25
2287,Marathoner,2025-02-18
2280,Early Bird,2025-11-13
2329,Step Master,2025-03-20
2151,Marathoner,
1893,Marathoner,
2074,Consistency King,2025-03-04
1373,Marathoner,2025-03-09
2250,Step Master,2025-08-30
1066,Weekend Warrior,2025-11-12
1344,Marathoner,
2145,Marathoner,
1607,Marathoner,
2072,Weekend Warrior,2025-07-06
1755,Marathoner,
2140,Weekend Warrior,2025-11-24
2251,Marathoner,
2441,Consistency King,2025-04-10
2403,Night Owl,2025-03-20
1345,Marathoner,
2395,Marathoner,
2058,Marathoner,
2073,Night Owl,2025-03-06
1089,Posture Pro,2025-01-11
1936,Marathoner,
1328,Posture Pro,2025-07-13
1722,Marathoner,
2020,Night Owl,2025-02-09
1688,Early Bird,2025-08-09
1016,Marathoner,
1155,Marathoner,2025-02-05
1112,Early Bird,2025-04-20
2443,Step Master,2025-01-18
2281,Early Bird,2025-03-14
2116,Marathoner,
1459,Posture Pro,2025-01-18
1417,Step Master,2025-06-14
1839,Step Master,2025-05-13
2434,Weekend Warrior,2025-05-08
1512,Consistency King,2025-10-09
1973,Consistency King,2025-03-18
1772,Marathoner,
1410,Early Bird,2025-09-22
1430,Posture Pro,2025-04-18
1123,Consistency King,2025-11-10
1456,Step Master,2025-01-21
1591,Consistency King,2025-12-03
1401,Marathoner,2025-09-20
1624,Weekend Warrior,2025-05-02
1508,Consistency King,2025-01-08
2318,Consistency King,2025-11-04
1589,Posture Pro,2025-03-04
1596,Posture Pro,2025-10-14
1280,Night Owl,2025-09-10
1976,Marathoner,
2262,Night Owl,2025-10-31
1818,Weekend Warrior,2025-12-08
1282,Consistency King,2025-06-14
1510,Posture Pro,2025-11-23
1386,Night Owl,2025-08-11
2255,Marathoner,
2213,Marathoner,2025-01-12
2447,Step Master,2025-04-22
1666,Marathoner,
1430,Posture Pro,2025-07-18
1442,Night Owl,2025-11-07
1236,Night Owl,2025-07-04
1800,Posture Pro,2025-03-06
1611,Marathoner,
2207,Early Bird,2025-01-02
1224,Marathoner,
2159,Marathoner,
1201,Consistency King,2025-09-11
1284,Step Master,2025-10-25
1504,Marathoner,
2067,Step Master,2025-02-01
2147,Night Owl,2025-11-27
2455,Weekend Warrior,2025-10-09
1418,Step Master,2025-06-28
2373,Early Bird,2025-01-24
1070,Marathoner,
2000,Marathoner,
1631,Step Master,2025-02-05
1549,Marathoner,
2471,Weekend Warrior,2025-10-02
1166,Marathoner,2025-11-05
1206,Step Master,2025-01-11
1411,Posture Pro,2025-11-25
1189,Marathoner,
1105,Weekend Warrior,2025-08-04
1431,Marathoner,
