UserID,ExerciseType,ExerciseDurationMinutes
1756,Weightlifting,58.0
1980,Running,73.0
1032,Swimming,26.0
2201,Cycling,97.0
1843,Stretching,74.0
2180,Stretching,12.0
2386,Pilates,61.0
1879,Stretching,38.0
1137,Swimming,71.0
2030,Running,21.0
2034,Swimming,85.0
2143,Cycling,82.0
2050,Yoga,62.0
1979,Pilates,39.0
1991,Swimming,67.0
1018,Cycling,74.0
1834,Running,52.0
2436,Running,39.0
1918,Walking,117.0
2203,Running,113.0
1253,HIIT,65.0
1971,Pilates,56.0
1234,Swimming,72.0
2437,Stretching,35.0
1356,Running,54.0
1808,Weightlifting,42.0
2102,Walking,54.0
2200,Weightlifting,68.0
1564,Weightlifting,21.0
1182,Pilates,91.0
1031,Yoga,16.0
1072,Stretching,60.0
1755,Yoga,80.0
1166,Running,83.0
1999,Stretching,85.0
1843,Stretching,74.0
1373,Yoga,31.0
1537,Yoga,20.0
1095,HIIT,28.0
1892,Stretching,55.0
1771,Weightlifting,95.0
2377,Cycling,87.0
2190,HIIT,27.0
1782,Running,53.0
1814,Walking,47.0
1887,Swimming,51.0
1368,Running,52.0
1122,HIIT,92.0
1135,Cycling,48.0
2397,Weightlifting,118.0
2019,Walking,77.0
1083,HIIT,118.0
1638,Swimming,86.0
2079,Pilates,44.0
1355,Yoga,80.0
2166,Running,45.0
2070,HIIT,93.0
1592,Running,47.0
1011,Pilates,50.0
1020,HIIT,23.0
2265,Yoga,77.0
1595,Walking,108.0
1254,Swimming,110.0
1162,Cycling,112.0
2013,Weightlifting,59.0
1961,Weightlifting,41.0
1531,Cycling,106.0
2338,Yoga,91.0
1430,Running,101.0
1005,Running,84.0
2388,Stretching,84.0
1675,Weightlifting,37.0
1497,Swimming,84.0
1888,Yoga,27.0
1427,HIIT,15.0
1109,Pilates,15.0
1904,Cycling,66.0
2343,Running,33.0
2281,Swimming,74.0
2335,Running,92.0
2321,HIIT,35.0
2474,Running,38.0
1783,Cycling,64.0
1187,HIIT,32.0
1621,Yoga,68.0
1112,Yoga,52.0
1835,Swimming,81.0
2319,HIIT,87.0
1041,Swimming,11.0
2108,Swimming,87.0
1603,HIIT,18.0
1185,Pilates,54.0
1869,Swimming,83.0
1296,Yoga,17.0
1750,Pilates,120.0
1635,Walking,110.0
2093,Cycling,47.0
1556,Yoga,89.0
1900,Yoga,39.0
2209,Stretching,92.0
1805,Stretching,27.0
1124,Stretching,31.0
1022,Pilates,105.0
1831,Yoga,32.0
1090,Yoga,98.0
1075,Swimming,76.0
2422,Stretching,107.0
1202,Running,54.0
1967,Cycling,83.0
1938,Cycling,20.0
1357,Weightlifting,88.0
1147,HIIT,105.0
2236,Yoga,118.0
1734,Swimming,47.0
1582,Weightlifting,19.0
1430,Cycling,45.0
2164,Swimming,84.0
1244,Cycling,45.0
1360,Pilates,37.0
1341,Yoga,44.0
1526,Swimming,57.0
1902,Pilates,26.0
1476,Cycling,61.0
1444,Yoga,51.0
1819,Weightlifting,49.0
1696,Swimming,64.0
1505,Pilates,39.0
2121,Walking,46.0
1245,Walking,96.0
1873,HIIT,101.0
1924,Pilates,46.0
2039,HIIT,51.0
1815,Cycling,86.0
1992,Pilates,62.0
1805,HIIT,112.0
1611,Weightlifting,91.0
1600,Pilates,61.0
1437,Walking,46.0
1642,Cycling,87.0
1851,Pilates,89.0
1328,HIIT,66.0
1569,Running,98.0
1963,Swimming,45.0
1846,Weightlifting,106.0
2128,Swimming,22.0
1781,Cycling,107.0
1736,Walking,108.0
1170,Yoga,102.0
1653,Pilates,35.0
2356,Pilates,63.0
1298,Stretching,21.0
2350,Stretching,72.0
2172,Swimming,47.0
2245,HIIT,84.0
1335,Pilates,20.0
1074,Yoga,100.0
2269,Weightlifting,14.0
2215,Yoga,15.0
2311,Pilates,117.0
1660,Walking,95.0
1677,HIIT,89.0
2059,Stretching,39.0
1853,Stretching,13.0
1519,Yoga,77.0
2042,Yoga,56.0
2090,Pilates,82.0
1300,Pilates,86.0
1028,Pilates,93.0
1177,Walking,32.0
1417,Pilates,68.0
1625,Swimming,70.0
1158,Stretching,58.0
1538,Swimming,80.0
1084,Swimming,27.0
1002,HIIT,88.0
2163,Yoga,29.0
1351,Walking,107.0
1767,Stretching,66.0
1568,Walking,117.0
2150,Stretching,64.0
1583,Running,24.0
2337,Walking,17.0
1506,Cycling,59.0
1006,Swimming,117.0
2498,Pilates,96.0
1626,Stretching,119.0
1903,Walking,24.0
2358,Walking,22.0
1743,Stretching,60.0
2234,HIIT,71.0
1842,Weightlifting,99.0
1624,Walking,35.0
1285,Running,41.0
1180,Swimming,40.0
2394,Walking,26.0
1593,Running,107.0
1701,Pilates,61.0
2403,Swimming,107.0
1665,Stretching,27.0
1340,Swimming,86.0
1370,Yoga,45.0
2053,Pilates,115.0
1949,Pilates,115.0
2354,Cycling,16.0
2313,Walking,23.0
1552,Swimming,110.0
1459,Cycling,19.0
2238,Running,38.0
2023,HIIT,102.0
1046,Swimming,29.0
1492,Cycling,43.0
1817,Cycling,18.0
2448,Swimming,38.0
1647,Weightlifting,119.0
2147,Yoga,96.0
1049,Pilates,73.0
2182,Pilates,108.0
1061,Swimming,91.0
2014,Pilates,75.0
1166,Weightlifting,89.0
1171,Stretching,75.0
1833,Pilates,106.0
2365,Cycling,92.0
1723,Swimming,98.0
1353,Walking,47.0
2199,Yoga,114.0
2371,Yoga,90.0
2133,Stretching,60.0
1352,Yoga,72.0
1637,Pilates,120.0
2299,HIIT,81.0
1130,HIIT,114.0
2095,Stretching,71.0
1069,Weightlifting,12.0
2442,Swimming,100.0
1401,Cycling,26.0
2403,Cycling,104.0
2404,HIIT,37.0
2296,Walking,65.0
1229,Weightlifting,92.0
2196,Running,67.0
1968,Running,10.0
1165,Stretching,17.0
1099,Weightlifting,21.0
1979,Cycling,85.0
1714,Pilates,38.0
1761,HIIT,45.0
1789,HIIT,73.0
1862,Swimming,93.0
2302,Pilates,62.0
1415,Pilates,52.0
2367,HIIT,58.0
1536,Cycling,87.0
1661,Cycling,73.0
2175,Stretching,115.0
2154,Pilates,38.0
1230,Weightlifting,58.0
1747,Weightlifting,110.0
1652,HIIT,79.0
2063,Swimming,26.0
1810,Yoga,115.0
2211,HIIT,48.0
2100,Walking,77.0
1247,Stretching,115.0
1652,Swimming,97.0
1401,Walking,27.0
1217,Cycling,111.0
1574,Pilates,10.0
1040,HIIT,120.0
1067,Weightlifting,96.0
1996,Swimming,10.0
2299,Cycling,14.0
1917,HIIT,118.0
1492,Stretching,34.0
1893,Pilates,44.0
1649,Walking,20.0
2284,Cycling,15.0
2085,Pilates,50.0
2051,Swimming,12.0
1713,Stretching,56.0
1349,Yoga,118.0
1670,Swimming,97.0
2336,Swimming,112.0
1654,Running,32.0
1252,Stretching,21.0
1419,Stretching,10.0
1776,Running,84.0
1086,Yoga,39.0
1092,Pilates,103.0
1394,HIIT,78.0
1702,Walking,29.0
2137,Walking,41.0
1196,HIIT,14.0
1560,Walking,98.0
2063,Yoga,42.0
1950,HIIT,120.0
1195,Cycling,107.0
1749,Pilates,19.0
1882,Stretching,45.0
1510,Walking,97.0
2337,Walking,45.0
1427,Weightlifting,86.0
2318,Cycling,107.0
1818,Walking,103.0
1268,HIIT,59.0
1609,Walking,56.0
2228,Running,101.0
1349,Running,31.0
