UserID,PostureScore,AlertTriggered,AlertTriggeredDate
1756,99.0,No,
1980,99.0,No,
1381,,No,
1032,98.0,Yes,2025-02-18
2201,63.0,No,
1843,54.0,No,
2180,89.0,No,
2386,77.0,No,
1879,54.0,Yes,2025-03-08
1137,66.0,No,
2030,76.0,Yes,2025-04-17
2034,80.0,No,
2143,52.0,No,
2050,86.0,No,
1979,71.0,No,
1991,72.0,No,
1018,90.0,No,
1834,75.0,No,
2436,76.0,No,
1918,96.0,No,
2203,65.0,No,
1253,73.0,No,
1971,77.0,No,
1234,96.0,No,
2437,88.0,No,
1356,50.0,No,
1808,88.0,Yes,2025-07-05
2102,100.0,No,
2200,52.0,No,
1564,50.0,No,
1182,59.0,No,
1031,86.0,No,
1072,91.0,Yes,2025-11-09
1755,78.0,No,
1166,91.0,Yes,2025-03-23
1595,,No,
1999,58.0,No,
1843,54.0,No,
1373,97.0,No,
1537,63.0,No,
1095,64.0,No,
1892,97.0,No,
1771,53.0,No,
2377,77.0,No,
2190,71.0,No,
1782,85.0,No,
1814,64.0,No,
1887,92.0,No,
1368,92.0,No,
1122,86.0,No,
1135,64.0,No,
2397,67.0,No,
2019,71.0,Yes,
1083,86.0,No,
2414,,Yes,2025-05-31
1638,50.0,No,
2079,50.0,No,
1355,84.0,No,
2166,96.0,Yes,
2070,62.0,No,
1450,,Yes,2025-01-17
1776,,Yes,2025-10-12
1592,85.0,No,
1011,63.0,No,
1020,69.0,No,
2265,50.0,No,
1595,50.0,No,
2248,,No,
1254,73.0,No,
1162,95.0,No,
2013,60.0,No,
1961,99.0,No,
1531,84.0,No,
2057,,No,
2338,72.0,No,
1430,85.0,Yes,2025-07-14
1005,89.0,No,
2388,68.0,No,
1675,93.0,No,
1497,72.0,No,
1888,68.0,Yes,2025-11-07
1427,54.0,Yes,2025-09-16
2383,,No,
1109,64.0,No,
1904,71.0,Yes,2025-01-30
2343,74.0,No,
2281,71.0,Yes,
2335,96.0,No,
2321,58.0,No,
2474,50.0,No,
1783,94.0,No,
1187,53.0,No,
1621,85.0,No,
1112,88.0,No,
1835,96.0,No,
2319,100.0,No,
1041,64.0,No,
2108,84.0,No,
1603,63.0,Yes,
1185,60.0,No,
1869,58.0,Yes,2025-03-15
1296,75.0,No,
1750,59.0,No,
1635,55.0,No,
2093,74.0,No,
1556,50.0,No,
1900,93.0,No,
1301,,No,
2209,61.0,No,
1805,95.0,Yes,2025-02-24
2438,,Yes,2025-03-21
1124,51.0,No,
1022,74.0,No,
1831,68.0,Yes,2025-08-19
1090,81.0,Yes,2025-02-14
2499,,Yes,2025-10-10
1075,96.0,Yes,
2422,64.0,No,
1202,60.0,Yes,2025-09-19
1967,61.0,No,
1938,51.0,No,
1357,77.0,No,
1147,69.0,Yes,
2236,98.0,No,
1734,82.0,Yes,2025-02-04
2143,,No,
2038,,No,
1582,50.0,No,
1430,88.0,No,
2164,50.0,Yes,2025-06-12
1244,71.0,No,
1360,91.0,No,
1341,100.0,No,
1526,96.0,No,
1902,98.0,No,
1476,60.0,No,
1444,81.0,No,
1819,87.0,Yes,2025-06-05
1696,80.0,No,
1505,85.0,No,
2121,88.0,No,
1245,50.0,No,
1145,,No,
1873,67.0,Yes,
1924,78.0,No,
2039,89.0,No,
1815,62.0,Yes,2025-06-25
1992,66.0,No,
1805,70.0,No,
1611,79.0,No,
1600,99.0,Yes,
1437,67.0,No,
1642,62.0,No,
1851,90.0,No,
1328,65.0,No,
1569,87.0,Yes,
1963,81.0,No,
1846,70.0,No,
2128,84.0,Yes,2025-04-24
1781,65.0,Yes,
1736,92.0,No,
1170,54.0,No,
1653,79.0,No,
2356,74.0,No,
1298,69.0,Yes,2025-09-20
2350,85.0,No,
2172,74.0,No,
2273,,No,
2245,88.0,No,
1335,60.0,No,
1074,59.0,No,
2269,93.0,Yes,2025-07-18
2215,52.0,Yes,2025-08-25
1833,,No,
2311,85.0,No,
1660,88.0,No,
1677,62.0,Yes,2025-05-24
2059,58.0,No,
1387,,No,
1853,96.0,Yes,2025-08-12
1519,77.0,No,
2042,57.0,No,
2090,70.0,No,
1300,86.0,Yes,2025-09-24
1028,71.0,Yes,
1177,89.0,Yes,
1417,57.0,No,
1625,67.0,No,
1158,57.0,Yes,2025-02-21
1538,65.0,No,
1084,92.0,No,
1002,51.0,No,
2163,91.0,No,
1377,,No,
1351,57.0,Yes,
1767,65.0,No,
1568,55.0,No,
2150,92.0,No,
1583,60.0,No,
2337,94.0,No,
1506,66.0,Yes,2025-07-10
1006,59.0,Yes,2025-11-09
2498,83.0,No,
1626,96.0,No,
1903,68.0,No,
2358,87.0,No,
1743,83.0,Yes,2025-01-01
2234,90.0,No,
1842,76.0,No,
1624,83.0,No,
1285,66.0,Yes,
1180,78.0,Yes,
2394,95.0,Yes,2025-09-28
1593,81.0,Yes,
1701,56.0,No,
2403,90.0,No,
1665,72.0,Yes,2025-10-18
1340,71.0,Yes,2025-08-04
1885,,No,
1370,96.0,No,
2053,84.0,No,
1881,,No,
1949,61.0,No,
2354,80.0,No,
2313,85.0,Yes,2025-04-11
1552,76.0,No,
1459,68.0,No,
2238,97.0,No,
1090,,No,
2023,96.0,Yes,
1046,70.0,No,
1492,71.0,Yes,2025-01-03
1817,66.0,Yes,2025-05-20
2448,57.0,No,
1647,85.0,No,
2147,92.0,No,
1049,97.0,No,
2182,73.0,No,
1061,90.0,No,
2014,74.0,No,
1166,84.0,No,
1171,99.0,No,
1833,58.0,No,
2365,53.0,No,
1723,63.0,No,
1353,86.0,No,
2199,75.0,No,
2371,94.0,No,
2133,59.0,No,
2496,,No,
1352,51.0,Yes,2025-01-10
1637,68.0,No,
2299,69.0,Yes,2025-05-30
1130,85.0,No,
2095,52.0,No,
1069,98.0,No,
2442,59.0,No,
1401,100.0,No,
2403,65.0,No,
