UserID,Date,Total_Distance,Tracker_Distance,Logged_Activities_Distance,Very_Active_Distance,Moderately_Active_Distance,Light_Active_Distance,Sedentary_Active_Distance,ActiveMinutes,ExerciseMinutes,Lightly_Active_Minutes,Sedentary_Minutes,DailySteps,Calories,PostureScore,WeightKg,HeightM
6117666160,4/20/2016,8.020000458,8.020000458,0,2.029999971,0.479999989,5.519999981,0,26,10,349,587,10449,2536,59,63,1.51
1644430081,4/13/2016,5.820000172,5.820000172,0,2.279999971,0.899999976,2.640000105,0,30,16,135,1259,8001,2902,53,80,1.73
1927972279,4/25/2016,0.109999999,0.109999999,0,0,0,0.109999999,0,0,0,12,1303,152,2100,85,80,1.86
6117666160,4/26/2016,7.210000038,7.210000038,0,0,0.340000004,6.869999886,0,0,7,352,1077,9543,2450,94,66,1.68
4388161847,05/09/2016,7.860000134,7.860000134,0,0.340000004,0.730000019,6.789999962,0,6,19,258,1020,10218,3013,78,74,1.8
6775888955,4/28/2016,0.5,0.5,0,0.059999999,0.200000003,0.239999995,0,2,13,15,1410,703,1993,54,74,1.89
4319703577,4/13/2016,5.5,5.5,0,0.529999971,0.589999974,1.309999943,0,8,15,96,1234,8204,2135,67,82,1.79
2873212765,05/03/2016,4.980000019,4.980000019,0,0.059999999,0.25,4.659999847,0.01,1,6,363,1070,7412,1906,77,76,1.63
4445114986,4/13/2016,1.99000001,1.99000001,0,0,0,1.99000001,0,0,0,194,840,2961,2095,72,60,1.7
6290855005,05/08/2016,5.829999924,5.829999924,0,0,0,5.820000172,0,0,0,251,1189,7706,2712,73,64,1.72
3977333714,4/30/2016,9.199999809,9.199999809,0,3.690000057,2.099999905,3.410000086,0,43,52,194,687,13238,1650,97,73,1.73
1503960366,05/05/2016,8.899999619,8.899999619,0,2.920000076,1.080000043,4.880000114,0,45,24,250,857,14070,1959,77,76,1.52
1927972279,4/28/2016,1.159999967,1.159999967,0,0,0,1.159999967,0,0,0,95,1167,1675,2351,80,72,1.85
4558609924,05/01/2016,2.269999981,2.269999981,0,0,0,2.269999981,0,0,0,190,1121,3428,1692,89,83,1.75
8253242879,4/27/2016,8.180000305,8.180000305,0,6.239999771,0.230000004,1.700000048,0,45,5,104,1286,10232,2008,63,68,1.67
6962181067,4/28/2016,8.350000381,8.350000381,0,2.50999999,0.239999995,5.590000153,0,38,8,288,621,12627,2182,81,80,1.78
1503960366,05/12/2016,0,0,0,0,0,0,0,0,0,0,1440,0,0,65,64,1.78
6117666160,05/06/2016,2.680000067,2.680000067,0,0,0,2.680000067,0,0,0,133,673,3365,1838,92,63,1.81
4558609924,05/07/2016,5.440000057,5.440000057,0,1.610000014,1,2.829999924,0,23,16,233,1116,8237,1973,55,89,1.6
3977333714,4/24/2016,10,10,0,3.269999981,4.559999943,2.170000076,0,30,95,129,660,14112,1655,50,81,1.52
6962181067,4/19/2016,7.099999905,7.099999905,0,2.099999905,2.130000114,2.869999886,0,35,41,195,659,10742,2046,78,74,1.56
2022484408,05/02/2016,7.289999962,7.289999962,0,2.609999895,0.340000004,4.329999924,0,36,8,277,1119,10379,2473,64,78,1.53
1624580081,4/20/2016,3.230000019,3.230000019,0,0,0,3.230000019,0,0,0,151,1289,4974,1446,62,65,1.72
4558609924,05/05/2016,7.010000229,7.010000229,0,1.00999999,0.5,5.510000229,0,14,8,370,1048,10611,2262,82,66,1.67
2347167796,04/12/2016,6.829999924,6.829999924,0,2,0.620000005,4.199999809,0,28,13,320,964,10113,2344,63,87,1.56
4020332650,05/03/2016,3.220000029,3.220000029,0,0,0,3.150000095,0.050000001,0,0,174,950,4496,2828,75,86,1.68
1644430081,05/06/2016,7.119999886,7.119999886,0,0.819999993,0.270000011,6.010000229,0.02,11,6,369,1054,9787,3328,50,80,1.81
2026352035,05/07/2016,2.599999905,2.599999905,0,0,0,2.599999905,0,0,0,229,665,4193,1491,90,75,1.68
1644430081,4/20/2016,1.769999981,1.769999981,0,0,0,1.75999999,0.01,0,0,125,1315,2436,2430,72,89,1.63
2022484408,4/23/2016,4.210000038,4.210000038,0,0,0,4.210000038,0,0,0,249,1191,6001,2069,86,64,1.5
3977333714,4/23/2016,8.069999695,8.069999695,0,0,4.21999979,3.849999905,0,0,92,252,724,12058,1638,55,63,1.62
2022484408,4/16/2016,7.090000153,7.090000153,0,3.150000095,0.550000012,3.390000105,0,41,11,151,1237,10100,2177,84,84,1.62
6290855005,4/23/2016,0,0,0,0,0,0,0,33,0,0,1407,0,2664,72,86,1.74
4445114986,4/20/2016,1.389999986,1.389999986,0,0,0,1.389999986,0,0,0,137,841,2072,1974,58,81,1.64
4020332650,4/18/2016,0.039999999,0.039999999,0,0,0,0.039999999,0,0,0,2,1438,62,1995,90,72,1.9
8378563200,05/07/2016,3.539999962,3.539999962,0,0,0,3.539999962,0,0,0,158,851,4468,2799,90,63,1.65
6117666160,4/19/2016,8.409999847,8.409999847,0,0,0,8.409999847,0,0,0,480,425,11135,2606,57,68,1.78
6117666160,4/13/2016,0,0,0,0,0,0,0,0,0,0,1440,0,1496,90,84,1.59
1644430081,4/26/2016,7.210000038,7.210000038,0,0.800000012,1.720000029,4.690000057,0,11,41,223,1165,9919,3123,99,75,1.61
4445114986,05/06/2016,3.029999971,3.029999971,0,0,0,3.029999971,0,0,0,229,809,4514,2211,94,62,1.75
5577150313,05/05/2016,5.639999866,5.639999866,0,2.5,0.469999999,2.670000076,0,45,21,143,1153,7550,3004,81,68,1.52
8583815059,4/20/2016,4.110000134,4.110000134,0,0,1.039999962,3.069999933,0,0,27,167,1246,5273,2647,75,87,1.76
2347167796,4/19/2016,4.440000057,4.440000057,0,0,0,4.440000057,0,0,7,382,648,6711,2346,96,83,1.61
4388161847,4/23/2016,10.18000031,10.18000031,0,4.5,0.319999993,5.349999905,0,58,5,215,749,13236,3306,97,62,1.63
5577150313,05/10/2016,6.650000095,6.650000095,0,2.559999943,0.75,3.349999905,0,104,37,194,639,8869,3841,56,65,1.88
1844505072,4/27/2016,0,0,0,0,0,0,0,0,0,1,1439,4,1348,71,90,1.62
8253242879,4/20/2016,4.269999981,4.269999981,0,0.330000013,0.819999993,3.109999895,0.01,5,18,216,1201,6466,1931,62,70,1.58
4702921684,05/12/2016,2.230000019,2.230000019,0,0,0,2.230000019,0,0,0,68,241,2752,1240,68,65,1.8
8583815059,05/06/2016,4.559999943,4.559999943,0,0.140000001,1.190000057,3.230000019,0,2,22,166,1250,5843,2683,78,62,1.89
7007744171,4/23/2016,5.409999847,5.409999847,0,0.129999995,1.129999995,4.150000095,0,2,25,223,1190,8093,2284,69,68,1.9
