UserID,ExerciseType,DurationMin,Date
2026352035,Hiking,67,29-Jan-2026
8583815059,Swimming,84,6-Jan-2026
2022484408,Running,76,18-Jan-2026
4558609924,Swimming,51,23-Jan-2026
2022484408,Running,61,19-Jan-2026
3372868164,Yoga,51,27-Jan-2026
6290855005,Running,15,5-Jan-2026
1927972279,Swimming,23,10-Jan-2026
1927972279,Hiking,30,26-Jan-2026
6775888955,Walking,90,17-Jan-2026
4388161847,Hiking,65,23-Jan-2026
2022484408,Swimming,43,10-Jan-2026
6290855005,Yoga,36,7-Jan-2026
1644430081,Cycling,56,15-Jan-2026
1624580081,Swimming,31,20-Jan-2026
2026352035,Gym,37,15-Jan-2026
4057192912,Hiking,29,7-Jan-2026
5577150313,Cycling,90,26-Jan-2026
6290855005,Walking,64,14-Jan-2026
8877689391,Walking,59,9-Jan-2026
