UserID,PostureScore,AlertTriggered,Date
8583815059,90,No,3-Jan-2026
6117666160,71,No,26-Jan-2026
2873212765,47,Yes,22-Jan-2026
1927972279,61,No,25-Jan-2026
3372868164,100,No,28-Jan-2026
4702921684,95,No,7-Jan-2026
2320127002,51,Yes,16-Jan-2026
8253242879,51,Yes,15-Jan-2026
4388161847,90,No,7-Jan-2026
2320127002,70,No,6-Jan-2026
2347167796,87,No,6-Jan-2026
5553957443,44,Yes,18-Jan-2026
6117666160,88,No,6-Jan-2026
6117666160,54,Yes,29-Jan-2026
6117666160,51,Yes,13-Jan-2026
1844505072,67,No,10-Jan-2026
8378563200,97,No,20-Jan-2026
7007744171,65,No,9-Jan-2026
4319703577,70,No,5-Jan-2026
8792009665,79,No,7-Jan-2026
